City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,Moose Factory,51.2585,-80.6094,6.8,78,1,5.75,CA,2021-03-27 01:22:18
253,Noumea,-22.2763,166.4572,91.4,52,0,10.36,NC,2021-03-27 01:22:18
254,Dalmatovo,56.26,62.9362,31.71,98,100,1.21,RU,2021-03-27 01:22:19
255,Lubango,-14.9172,13.4925,59.83,92,100,1.88,AO,2021-03-27 01:20:43
256,Ambon City,-3.6954,128.1814,86.0,70,40,2.3,ID,2021-03-27 01:22:19
257,Jatibonico,21.9419,-79.17,76.39,67,0,13.89,CU,2021-03-27 01:22:19
258,Waingapu,-9.6567,120.2641,82.78,70,57,2.19,ID,2021-03-27 01:22:20
259,Mount Gambier,-37.8333,140.7667,60.8,77,90,13.8,AU,2021-03-27 01:22:20
260,Bellūru,12.9911,76.7444,69.67,58,49,4.41,IN,2021-03-27 01:22:20
261,Guerrero Negro,27.9769,-114.0611,59.67,63,0,17.13,MX,2021-03-27 01:22:20
262,Kāzerūn,29.6195,51.6541,69.12,31,54,6.13,IR,2021-03-27 01:22:20
263,Kursavka,44.4564,42.5093,35.6,75,100,13.42,RU,2021-03-27 01:22:21
264,Narsaq,60.9167,-46.05,5.0,47,75,10.36,GL,2021-03-27 01:22:21
265,George Town,5.4112,100.3354,82.4,94,20,3.44,MY,2021-03-27 01:22:21
266,Wajid,3.8093,43.2471,72.19,68,9,16.17,SO,2021-03-27 01:22:21
267,Paraíso,9.8383,-83.8656,75.2,64,40,10.36,CR,2021-03-27 01:22:22
268,Faya,18.3851,42.4509,60.8,59,0,4.61,SA,2021-03-27 01:22:22
269,Acajutla,13.5928,-89.8275,79.92,71,6,5.19,SV,2021-03-27 01:22:09
270,Lilongwe,-13.9669,33.7873,62.71,96,5,0.25,MW,2021-03-27 01:22:22
271,Klaksvík,62.2266,-6.589,37.4,56,40,10.36,FO,2021-03-27 01:22:22
272,Tara,56.8944,74.371,30.76,96,100,7.72,RU,2021-03-27 01:22:23
273,Muromtsevo,56.3724,75.2418,27.39,92,100,7.74,RU,2021-03-27 01:22:23
274,Pecos,31.4229,-103.4932,78.8,5,1,3.44,US,2021-03-27 01:22:23
275,Khani,41.9563,42.9566,39.2,93,90,5.75,GE,2021-03-27 01:22:23
276,Lake Shasta,40.6804,-122.3708,72.0,23,0,0.89,US,2021-03-27 01:22:24
277,San Rafael,-34.6177,-68.3301,56.79,44,44,2.77,AR,2021-03-27 01:22:24
278,Christchurch,-43.5333,172.6333,73.4,46,97,9.22,NZ,2021-03-27 01:20:32
279,Erenhot,43.6475,111.9767,48.72,18,8,23.38,CN,2021-03-27 01:22:24
280,Burgeo,47.6167,-57.6152,38.37,99,100,15.37,CA,2021-03-27 01:22:24
281,Panzhihua,26.5851,101.7128,61.0,44,0,1.74,CN,2021-03-27 01:22:25
282,Bandar-e Lengeh,26.5579,54.8807,80.6,36,100,4.61,IR,2021-03-27 01:22:25
283,Neepawa,50.2289,-99.4664,32.0,51,75,9.22,CA,2021-03-27 01:22:25
284,Plouzané,48.3833,-4.6167,44.6,87,0,6.91,FR,2021-03-27 01:22:25
285,North Bend,43.4065,-124.2243,57.0,66,1,19.57,US,2021-03-27 01:22:26
286,Sémbé,1.6481,14.5806,69.64,94,100,1.48,CG,2021-03-27 01:22:26
287,Orán,-23.1322,-64.326,70.0,95,100,3.0,AR,2021-03-27 01:22:26
288,Tual,-5.6667,132.75,83.61,71,69,4.38,ID,2021-03-27 01:22:26
289,Khotynets,53.1286,35.3966,33.37,99,100,5.21,RU,2021-03-27 01:22:27
290,Faanui,-16.4833,-151.75,82.92,73,18,22.32,PF,2021-03-27 01:22:27
291,San Patricio,28.017,-97.5169,73.4,78,90,11.5,US,2021-03-27 01:22:28
292,Baghdad,33.3406,44.4009,57.2,58,0,28.77,IQ,2021-03-27 01:17:32
293,Lorengau,-2.0226,147.2712,83.68,76,100,5.99,PG,2021-03-27 01:22:29
294,Blagoyevo,63.3667,47.9167,21.52,98,98,2.48,RU,2021-03-27 01:22:31
295,Ilmajoki,62.7333,22.5667,37.4,81,90,5.75,FI,2021-03-27 01:22:31
296,Barabinsk,55.3571,78.357,15.49,94,55,8.86,RU,2021-03-27 01:22:31
297,Buraidah,26.326,43.975,68.0,37,1,19.57,SA,2021-03-27 01:22:17
298,Hualmay,-11.0964,-77.6139,69.89,82,72,6.49,PE,2021-03-27 01:22:31
299,Kumul,42.8,93.45,55.4,37,73,9.15,CN,2021-03-27 01:22:32
300,São Filipe,14.8961,-24.4956,70.0,77,0,14.99,CV,2021-03-27 01:22:32
301,Pitimbu,-7.4706,-34.8086,75.2,100,40,3.44,BR,2021-03-27 01:22:32
302,Mutoko,-17.397,32.2268,63.01,83,47,1.79,ZW,2021-03-27 01:22:32
303,Urrao,6.3152,-76.1342,55.0,97,100,1.32,CO,2021-03-27 01:22:33
304,Salta,-24.7859,-65.4117,60.8,100,75,4.61,AR,2021-03-27 01:18:31
305,Pacific Grove,36.6177,-121.9166,62.6,39,1,8.05,US,2021-03-27 01:22:33
306,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,73.0,94,100,1.99,AR,2021-03-27 01:22:33
307,Cabedelo,-6.9811,-34.8339,75.2,100,40,3.44,BR,2021-03-27 01:22:34
308,Manavālakurichi,8.1333,77.3,82.4,83,40,7.72,IN,2021-03-27 01:22:34
309,Jacareacanga,-6.2222,-57.7528,72.82,95,5,1.01,BR,2021-03-27 01:22:34
310,Bethel,41.3712,-73.414,60.8,41,1,18.41,US,2021-03-27 01:22:35
311,Cayenne,4.9333,-52.3333,80.01,89,40,4.61,GF,2021-03-27 01:18:58
312,Douglas,41.3,-96.167,53.6,62,40,5.75,US,2021-03-27 01:22:35
313,Barra Patuca,15.8,-84.2833,79.12,75,0,13.85,HN,2021-03-27 01:18:14
314,Turukhansk,65.8167,87.9833,28.87,97,100,13.76,RU,2021-03-27 01:22:35
315,Palanit,12.3213,124.3434,82.96,73,97,7.63,PH,2021-03-27 01:22:35
316,Mbanza-Ngungu,-5.25,14.8667,67.75,96,100,0.4,CD,2021-03-27 01:22:36
317,Imbituba,-28.24,-48.6703,78.8,73,75,10.36,BR,2021-03-27 01:22:36
318,Tanabe,33.7333,135.3667,60.8,48,75,4.61,JP,2021-03-27 01:22:36
319,Port Hardy,50.6996,-127.4199,46.4,76,90,6.91,CA,2021-03-27 01:22:36
320,Eséka,3.65,10.7667,72.93,97,100,1.36,CM,2021-03-27 01:22:37
321,Amor,39.804,-8.8598,48.2,93,0,2.3,PT,2021-03-27 01:22:37
322,Bereda,43.2686,-7.5406,37.99,100,5,1.01,ES,2021-03-27 01:22:37
323,Guaymas,27.9333,-110.9,70.0,52,1,9.22,MX,2021-03-27 01:22:37
324,Neuquén,-38.9516,-68.0591,55.4,71,0,9.01,AR,2021-03-27 01:19:09
325,Kendari,-3.945,122.4989,81.54,79,100,2.89,ID,2021-03-27 01:22:38
326,Sungai Penuh,-2.0833,101.3833,65.43,98,100,1.92,ID,2021-03-27 01:22:38
327,Halifax,44.6453,-63.5724,51.8,93,100,27.63,CA,2021-03-27 01:20:01
328,Kutoarjo,-7.7169,109.9128,82.98,73,89,2.1,ID,2021-03-27 01:22:38
329,Carnarvon,-24.8667,113.6333,78.8,57,100,13.8,AU,2021-03-27 01:22:39
330,Te Anau,-45.4167,167.7167,64.6,56,100,3.78,NZ,2021-03-27 01:22:39
331,Shimoda,34.6667,138.95,59.0,55,40,9.22,JP,2021-03-27 01:22:39
332,Preston,53.7667,-2.7167,41.0,77,80,11.99,GB,2021-03-27 01:20:20
333,Kiama,-34.6833,150.8667,79.0,58,54,5.01,AU,2021-03-27 01:22:39
334,Illescas,40.1221,-3.847,53.01,61,0,4.76,ES,2021-03-27 01:22:40
335,Esim,4.8699,-2.2405,79.03,87,0,5.95,GH,2021-03-27 01:22:40
336,Inhapi,-9.2214,-37.7486,73.42,77,100,9.17,BR,2021-03-27 01:22:40
337,Natal,-5.795,-35.2094,77.0,88,75,10.36,BR,2021-03-27 01:20:30
338,Bintulu,3.1667,113.0333,78.8,89,20,4.61,MY,2021-03-27 01:22:40
339,Khorramshahr,30.4397,48.1664,68.0,45,0,4.61,IR,2021-03-27 01:20:18
340,Jalu,29.0331,21.5482,51.13,43,0,9.73,LY,2021-03-27 01:22:41
341,Leh,34.1667,77.5833,35.62,50,96,4.85,IN,2021-03-27 01:22:41
342,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,40,4.61,CA,2021-03-27 01:22:41
343,Cabadiangan,9.7531,122.4739,85.23,62,98,8.79,PH,2021-03-27 01:22:41
344,San Quintín,30.4833,-115.95,57.16,64,6,14.14,MX,2021-03-27 01:22:42
345,Nagapattinam,10.7667,79.8333,78.42,83,35,3.62,IN,2021-03-27 01:22:42
346,Eirunepé,-6.6603,-69.8736,73.89,95,70,1.81,BR,2021-03-27 01:22:42
347,Mitsamiouli,-11.3847,43.2844,81.86,75,33,5.03,KM,2021-03-27 01:22:42
348,Bad Windsheim,49.5,10.4167,48.2,66,1,5.61,DE,2021-03-27 01:22:43
349,Malé,4.1748,73.5089,82.4,83,75,12.66,MV,2021-03-27 01:22:43
350,Eyl,7.9803,49.8164,77.94,73,97,13.11,SO,2021-03-27 01:22:43
351,Portland,45.5234,-122.6762,57.0,50,75,3.44,US,2021-03-27 01:18:58
352,Havre-St-Pierre,50.2334,-63.5986,26.6,63,90,23.02,CA,2021-03-27 01:22:43
353,Chatrapur,19.35,84.9833,77.27,72,8,3.51,IN,2021-03-27 01:22:44
354,Mana,5.6592,-53.7767,77.27,82,14,9.64,GF,2021-03-27 01:22:44
355,Laem Sing,12.4816,102.0738,86.0,69,100,3.91,TH,2021-03-27 01:22:44
356,Altoona,40.5187,-78.3947,53.01,71,100,12.5,US,2021-03-27 01:22:44
357,Cortez,37.3489,-108.5859,42.8,61,1,5.75,US,2021-03-27 01:22:45
