City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,166,Salalah,17.0151,54.0924,87.8,58,0,9.22,OM,2021-03-30 12:13:20
167,167,Adilabad,19.6667,78.5333,103.33,7,36,14.27,IN,2021-03-30 12:13:20
168,168,Aljezur,37.3191,-8.8033,71.62,50,93,11.59,PT,2021-03-30 12:13:21
169,169,Yulara,-25.2406,130.9889,77.0,25,0,9.22,AU,2021-03-30 12:13:21
170,170,San Javier,37.8063,-0.8374,66.99,63,0,20.71,ES,2021-03-30 12:13:21
171,171,Touros,-5.1989,-35.4608,80.6,89,75,3.44,BR,2021-03-30 12:13:21
172,172,La Fria,8.2203,-72.2439,75.2,100,75,4.61,VE,2021-03-30 12:13:22
173,173,Waoundé,15.2637,-12.8682,98.6,19,0,6.91,SN,2021-03-30 12:13:22
174,174,Bredasdorp,-34.5322,20.0403,80.6,41,0,17.27,ZA,2021-03-30 12:13:22
175,175,Puerto Ayacucho,5.6639,-67.6236,78.58,73,95,3.6,VE,2021-03-30 12:13:23
176,176,Chkalovsk,56.7647,43.2433,44.6,33,0,13.42,RU,2021-03-30 12:13:23
177,177,Labuhan,-6.8844,112.2051,81.86,75,49,4.54,ID,2021-03-30 12:13:23
178,178,Taoudenni,22.6783,-3.9836,95.83,4,55,12.48,ML,2021-03-30 12:13:23
179,179,Rocha,-34.4833,-54.3333,66.24,79,22,10.11,UY,2021-03-30 12:13:24
180,180,Barcelos,41.5388,-8.6151,68.0,52,0,10.36,PT,2021-03-30 12:09:01
181,181,Lakhipur,26.0299,90.3041,83.1,34,12,16.33,IN,2021-03-30 12:13:24
182,182,Pevek,69.7008,170.3133,-7.64,99,100,6.67,RU,2021-03-30 12:13:24
183,183,Lebu,-37.6167,-73.65,56.14,88,76,7.92,CL,2021-03-30 12:13:25
184,184,Inta,66.0317,60.1659,34.2,100,100,12.12,RU,2021-03-30 12:13:25
185,185,Taubaté,-23.0264,-45.5553,73.4,94,40,2.3,BR,2021-03-30 12:13:25
186,186,Katsuura,35.1333,140.3,62.6,88,75,8.05,JP,2021-03-30 12:09:14
187,187,Kiruna,67.8557,20.2251,39.2,70,75,10.36,SE,2021-03-30 12:13:26
188,188,San Rafael,-34.6177,-68.3301,63.95,39,0,4.54,AR,2021-03-30 12:13:26
189,189,Shima,24.4478,117.8111,78.8,78,0,6.71,CN,2021-03-30 12:13:26
190,190,Nouadhibou,20.930999999999997,-17.0347,69.8,68,0,18.41,MR,2021-03-30 12:13:27
191,191,Miranda,3.2499,-76.2281,71.6,83,75,4.61,CO,2021-03-30 12:13:27
192,192,Kerrville,30.0474,-99.1403,59.0,94,90,6.91,US,2021-03-30 12:11:27
193,193,Vila Velha,-20.3297,-40.2925,84.2,61,0,11.5,BR,2021-03-30 12:11:09
194,194,Altamira,-3.2033,-52.2064,77.0,88,90,6.91,BR,2021-03-30 12:13:27
195,195,Ulaangom,49.9811,92.0667,29.75,65,16,5.73,MN,2021-03-30 12:12:17
196,196,Charleston,32.7766,-79.9309,55.99,71,75,9.22,US,2021-03-30 12:08:36
197,197,Nyurba,63.2842,118.3319,16.05,95,62,4.25,RU,2021-03-30 12:13:28
198,198,Chapais,49.7834,-74.8492,19.4,79,90,13.8,CA,2021-03-30 12:13:28
199,199,Reporoa,-38.4333,176.35,68.0,91,100,1.01,NZ,2021-03-30 12:13:28
200,200,Nambiyūr,11.3667,77.3333,98.6,26,20,11.5,IN,2021-03-30 12:13:29
201,201,Salamanca,40.8333,-6.0,68.0,34,0,9.22,ES,2021-03-30 12:13:29
202,202,Ponta Delgada,37.7333,-25.6667,59.0,88,20,11.5,PT,2021-03-30 12:13:29
203,203,São João da Barra,-21.6403,-41.0511,77.0,78,75,8.05,BR,2021-03-30 12:09:40
204,204,Lamu,-2.2717,40.902,91.4,58,40,14.97,KE,2021-03-30 12:13:30
205,205,Kandrian,-6.2167,149.55,78.87,86,71,5.48,PG,2021-03-30 12:13:30
206,206,Narsaq,60.9167,-46.05,39.2,45,75,17.27,GL,2021-03-30 12:13:30
207,207,Shingū,33.7333,135.9833,59.13,88,100,3.83,JP,2021-03-30 12:13:30
208,208,Ancud,-41.8697,-73.8203,57.99,91,9,8.01,CL,2021-03-30 12:13:31
209,209,Mocajuba,-2.5842,-49.5072,79.34,83,98,2.8,BR,2021-03-30 12:13:31
210,210,Ribeira Grande,38.5167,-28.7,57.2,82,75,11.5,PT,2021-03-30 12:13:31
211,211,Norman Wells,65.282,-126.8329,5.0,56,75,6.91,CA,2021-03-30 12:13:32
212,212,Semey,50.4111,80.2275,33.8,64,0,4.47,KZ,2021-03-30 12:13:32
213,213,Smirnykh,49.75,142.8333,33.46,98,100,4.36,RU,2021-03-30 12:13:32
214,214,Karaton,-6.3424,106.1045,82.99,78,40,5.75,ID,2021-03-30 12:13:33
215,215,Quthing,-30.4,27.7003,73.31,30,0,7.85,LS,2021-03-30 12:13:33
216,216,Rudnichnyy,59.617,52.4703,36.84,85,33,10.36,RU,2021-03-30 12:13:33
217,217,Oodweyne,9.4092,45.06399999999999,91.15,16,30,6.64,SO,2021-03-30 12:13:34
218,218,Navashino,55.5292,42.2003,36.23,87,59,12.84,RU,2021-03-30 12:13:34
219,219,Kruisfontein,-34.0033,24.7314,83.97,29,66,12.1,ZA,2021-03-30 12:13:34
220,220,Pāsighāt,28.0667,95.3333,73.89,50,98,5.53,IN,2021-03-30 12:13:34
221,221,Te Anau,-45.4167,167.7167,54.54,88,100,1.03,NZ,2021-03-30 12:13:35
222,222,Ken Caryl,39.5773,-105.1169,27.0,91,99,5.39,US,2021-03-30 12:13:35
223,223,Clyde River,70.4692,-68.5914,-4.0,84,90,33.38,CA,2021-03-30 12:13:35
224,224,Gorin,51.1983,136.6669,27.19,90,100,5.26,RU,2021-03-30 12:13:36
225,225,Taltal,-25.4,-70.4833,64.38,76,19,1.83,CL,2021-03-30 12:13:36
226,226,Porto-Novo,6.4965,2.6036,87.8,70,40,10.36,BJ,2021-03-30 12:13:36
227,227,Campbell River,50.0163,-125.2446,35.01,76,13,1.01,CA,2021-03-30 12:13:37
228,228,Roald,62.5833,6.1333,43.0,93,75,11.5,NO,2021-03-30 12:13:37
229,229,Qui Nhon,13.7667,109.2333,77.72,88,97,12.77,VN,2021-03-30 12:13:37
230,230,Katherine,-14.4667,132.2667,80.6,57,40,5.75,AU,2021-03-30 12:13:37
231,231,Almaznyy,48.0448,40.045,39.2,87,75,22.37,RU,2021-03-30 12:13:38
232,232,Watertown,42.3709,-71.1828,39.0,69,1,3.85,US,2021-03-30 12:13:38
233,233,Ayan,56.45,138.1667,24.85,89,100,7.94,RU,2021-03-30 12:13:38
234,234,Saquarema,-22.92,-42.5103,75.2,88,40,5.75,BR,2021-03-30 12:13:39
235,235,Karasjok,69.4719,25.5112,35.6,87,75,6.91,NO,2021-03-30 12:13:39
236,236,Kambove,-10.8764,26.5969,68.88,82,91,6.6,CD,2021-03-30 12:13:39
237,237,Bengkulu,-3.8004,102.2655,78.87,79,94,1.81,ID,2021-03-30 12:09:00
238,238,Chokurdakh,70.6333,147.9167,-9.29,98,77,4.29,RU,2021-03-30 12:13:39
239,239,Hakui,36.8833,136.7833,54.0,31,100,4.23,JP,2021-03-30 12:13:40
240,240,Kitimat,54.0524,-128.6534,37.99,88,100,1.99,CA,2021-03-30 12:13:40
241,241,Lagoa,39.05,-27.9833,57.07,81,100,18.99,PT,2021-03-30 12:13:40
242,242,Valtice,48.7407,16.755,73.0,28,38,1.99,CZ,2021-03-30 12:13:40
243,243,Yamada,39.4667,141.95,50.47,69,100,4.18,JP,2021-03-30 12:13:41
244,244,Saint Paul Harbor,57.79,-152.4072,33.8,86,1,5.75,US,2021-03-30 12:13:41
245,245,Sinnamary,5.3833,-52.95,78.82,84,99,14.27,GF,2021-03-30 12:13:41
246,246,Auki,-8.7676,160.7034,78.06,87,98,4.7,SB,2021-03-30 12:13:42
247,247,Yuanping,38.7153,112.7575,61.39,45,85,3.11,CN,2021-03-30 12:13:42
248,248,Kribi,2.95,9.9167,81.84,76,59,8.39,CM,2021-03-30 12:13:42
249,249,Ambilobe,-13.2,49.05,83.84,76,100,4.21,MG,2021-03-30 12:13:43
250,250,Kachīry,53.0675,76.1036,25.77,90,100,7.83,KZ,2021-03-30 12:13:43
251,251,El Sauzal de Rodríguez,31.9,-116.6833,53.01,89,12,1.01,MX,2021-03-30 12:13:43
252,252,Bethel,41.3712,-73.414,36.0,69,1,1.66,US,2021-03-30 12:13:43
253,253,Yilan,24.756999999999998,121.75299999999999,77.0,99,100,0.18,TW,2021-03-30 12:13:44
254,254,Kimbe,-5.5502,150.1429,77.5,90,56,3.24,PG,2021-03-30 12:10:07
255,255,Matagami,49.7502,-77.6328,28.4,86,90,17.27,CA,2021-03-30 12:13:44
256,256,Ritchie,-29.038,24.6028,84.2,24,0,3.44,ZA,2021-03-30 12:13:44
257,257,Corinth,37.9407,22.9573,59.0,52,83,5.99,GR,2021-03-30 12:13:45
258,258,Anadyr,64.75,177.4833,-4.0,84,24,6.71,RU,2021-03-30 12:13:45
259,259,Troitsko-Pechorsk,62.7084,56.1964,37.6,75,74,11.14,RU,2021-03-30 12:13:45
260,260,Alekseyevsk,57.8406,108.3492,32.52,90,100,9.4,RU,2021-03-30 12:13:45
261,261,Coquimbo,-29.9533,-71.3436,53.6,87,0,1.14,CL,2021-03-30 12:13:46
262,262,Carutapera,-1.195,-46.02,79.56,90,100,7.29,BR,2021-03-30 12:13:46
263,263,Riyadh,24.6877,46.7219,84.2,8,0,4.61,SA,2021-03-30 12:11:19
264,264,Verkhoyansk,67.5447,133.385,-2.87,99,66,1.19,RU,2021-03-30 12:13:46
265,265,Geraldton,-28.7667,114.6,75.2,78,94,9.22,AU,2021-03-30 12:13:47
266,266,Sitka,57.0531,-135.33,39.2,100,90,9.22,US,2021-03-30 12:13:47
267,267,Chumikan,54.7183,135.315,27.82,98,100,3.67,RU,2021-03-30 12:12:13
268,268,Härnösand,62.6323,17.9379,50.0,40,0,16.11,SE,2021-03-30 12:13:47
269,269,Sobolevo,54.4299,31.8996,45.63,74,100,15.59,RU,2021-03-30 12:13:48
270,270,Province of Mantua,45.1667,10.7833,73.0,48,16,3.0,IT,2021-03-30 12:10:03
271,271,Zeya,53.75,127.2667,24.1,91,49,4.56,RU,2021-03-30 12:13:48
272,272,Yangi Marg`ilon,40.4272,71.7189,55.4,30,29,11.5,UZ,2021-03-30 12:13:48
273,273,São Filipe,14.8961,-24.4956,69.28,76,58,9.42,CV,2021-03-30 12:13:48
274,274,Berlevåg,70.8578,29.0864,35.6,87,75,3.44,NO,2021-03-30 12:13:49
275,275,Aguadilla,18.4275,-67.1541,77.0,83,1,12.66,PR,2021-03-30 12:13:49
276,276,Longyearbyen,78.2186,15.6401,24.8,74,75,14.97,SJ,2021-03-30 12:09:08
277,277,Carnarvon,-24.8667,113.6333,84.2,74,9,13.8,AU,2021-03-30 12:13:49
278,278,Murupara,-38.4667,176.7,66.99,98,100,2.86,NZ,2021-03-30 12:13:50
279,279,Chui,-33.6971,-53.4616,67.64,76,35,12.75,UY,2021-03-30 12:13:50
280,280,Tiarei,-17.5333,-149.3333,78.8,78,0,4.61,PF,2021-03-30 12:13:50
